Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
734,5.92893,0.156589
735,6.06158,0.106667
736,5.91406,0.145352
737,5.73148,0.229163
738,6.07212,0.119088
739,6.00923,0.145038
740,5.67574,0.234606
741,6.0303,0.184686
742,5.92599,0.172165
743,5.72047,0.215625
744,5.76027,0.193765
745,6.01423,0.15016
746,5.87279,0.184141
747,6.06338,0.140888
748,5.96375,0.198117
749,5.71276,0.219253
750,5.96119,0.175508
751,6.09963,0.0762964
752,5.92256,0.16199
753,6.00672,0.146009
754,5.68002,0.249025
755,6.02741,0.128893
756,5.90012,0.219905
757,5.29617,0.331528
758,5.76724,0.209238
759,5.99359,0.180404
760,5.99596,0.163461
761,5.68211,0.236999
762,6.01015,0.152092
763,5.97457,0.154913
764,5.72843,0.22456
765,5.84315,0.175868
766,6.0073,0.132614
767,5.9967,0.177605
768,6.06465,0.0978448
769,6.25184,0.0529641
770,6.08794,0.142757
771,5.94783,0.157991
772,6.24441,0.0459669
773,6.03421,0.131262
774,6.22093,0.0474871
775,6.03462,0.115385
776,5.70803,0.271871
777,6.19398,0.0590748
778,6.09129,0.117781
779,5.96196,0.181156
780,5.74809,0.239008
781,6.12128,0.148734
782,5.6969,0.261587
783,6.15193,0.130811
784,6.24848,0.0940973
785,6.19028,0.0526125
786,6.26824,0.0471623
787,5.86922,0.21309
788,5.74406,0.256614
789,6.20889,0.0651058
790,5.9768,0.148955
791,6.01373,0.185556
792,6.02618,0.169543
793,5.70083,0.243195
794,6.06133,0.126063
795,5.79984,0.226219
796,5.98679,0.115842
797,5.99813,0.135784
798,6.19656,0.0785787
799,6.3453,0.0420451
800,5.8072,0.244338
801,6.08056,0.11401
802,6.22093,0.154593
803,5.99699,0.187142
804,5.80235,0.208257
805,6.16003,0.0896401
806,5.81375,0.19632
807,6.13543,0.0655038
808,5.59082,0.281005
809,6.0232,0.201909
810,6.28694,0.0551829
811,6.07062,0.18208
812,6.24257,0.0700625
813,6.30311,0.047607
814,6.23549,0.0787025
815,6.17256,0.0821314
816,6.25892,0.0656048
817,6.14266,0.0903226
818,5.88743,0.181744
819,6.10225,0.161756
820,5.91063,0.192383
821,5.85382,0.220961
822,5.85825,0.234622
823,6.16035,0.159937
824,6.13328,0.154951
825,6.12452,0.17095
826,6.24607,0.0808734
827,6.10882,0.134344
828,6.11654,0.145049
829,6.04964,0.161263
830,6.005,0.174487
831,5.89405,0.230726
832,6.08387,0.16371
833,6.12313,0.122396
834,5.77532,0.268764
835,5.8932,0.198113
836,6.10272,0.147866
837,6.0759,0.20434
838,5.89207,0.241967
839,6.19859,0.119113
840,6.26074,0.074785
841,6.29168,0.0527586
842,5.82578,0.237629
843,6.33376,0.0470248
844,6.28528,0.105726
845,6.33503,0.0828657
846,6.00514,0.206333
847,6.12336,0.190075
848,5.80363,0.22706
849,6.33373,0.0513039
850,6.14494,0.142072
851,6.32185,0.0671665
852,6.2514,0.14151
853,6.35366,0.0470181
854,6.2891,0.0781121
855,6.21198,0.15203
856,6.3862,0.0441051
857,6.00144,0.158079
858,6.22668,0.0660144
859,6.27895,0.0563496
860,6.03589,0.187021
861,6.10728,0.187088
862,5.99196,0.221904
863,6.09103,0.212347
864,6.15036,0.162563
865,6.21024,0.165994
866,6.23215,0.150667
867,6.45654,0.0384821
868,6.25574,0.124525
869,6.27261,0.0673191
870,6.29801,0.0900564
871,6.33338,0.0488643
872,6.09421,0.189511
873,6.10491,0.158311
874,5.83777,0.224619
875,6.02275,0.18626
876,5.99247,0.208713
877,6.22371,0.103033
878,5.92194,0.224998
879,6.32322,0.0876485
880,5.97588,0.214972
881,6.07802,0.210108
882,6.11756,0.172133
883,5.99891,0.223347
884,5.96369,0.198086
885,6.07561,0.151102
886,6.28023,0.0908688
887,5.95316,0.233427
888,6.25872,0.0930932
889,6.23673,0.100708
890,6.21484,0.148509
891,6.39041,0.043182
892,6.38297,0.0495939
893,6.25095,0.111168
894,6.29293,0.089782
895,6.17844,0.160116
896,6.02677,0.155525
897,6.0417,0.174154
898,6.18827,0.13166
899,6.11083,0.164677
900,6.24761,0.15224
901,6.34113,0.0461242
902,6.27284,0.131707
903,5.95424,0.203106
904,6.29212,0.0926618
905,6.19668,0.0961642
906,6.32756,0.0584166
907,6.16367,0.16741
908,6.30265,0.127637
909,6.20317,0.117052
910,6.18775,0.155431
911,6.05427,0.193284
912,6.0067,0.178241
913,6.30706,0.0533093
914,6.04241,0.240184
915,6.07767,0.2038
916,6.29538,0.138296
917,5.95002,0.219904
918,6.15664,0.157966
919,6.19825,0.171428
920,6.21319,0.12954
921,5.8573,0.276037
922,6.0303,0.189498
923,6.2094,0.151758
924,6.28978,0.13896
925,6.1684,0.156496
926,6.07589,0.190081
927,6.22711,0.157385
928,6.20947,0.142935
929,6.42032,0.076943
930,6.23218,0.160729
931,6.33774,0.0934896
932,6.21022,0.169349
933,6.14049,0.17649
934,6.14664,0.20387
935,6.21414,0.152546
936,6.31049,0.0513466
937,6.37763,0.106179
938,6.08427,0.220889
939,6.12503,0.210796
940,6.08593,0.210828
941,6.2511,0.120352
942,6.29691,0.140693
943,5.92518,0.205289
944,6.0946,0.207262
945,6.39872,0.0499361
946,6.37581,0.0481147
947,6.28779,0.122169
948,6.22402,0.165292
949,6.43169,0.0512179
950,6.40902,0.0530365
951,6.24271,0.152621
952,6.31042,0.13229
953,6.33496,0.082985
954,6.22381,0.148349
955,6.32484,0.131909
956,6.18452,0.152293
957,6.40658,0.0504583
958,5.97852,0.220307
959,6.066,0.159024
960,6.25617,0.137795
961,6.41003,0.0419659
962,6.36438,0.060304
963,6.22643,0.155432
964,6.13231,0.143742
965,6.30253,0.138544
966,6.12896,0.205062
967,6.44445,0.0402829
968,6.20879,0.168724
969,6.14849,0.186426
970,6.39496,0.0765739
971,6.16908,0.112795
972,6.18499,0.163242
973,6.25343,0.110497
974,6.18257,0.118123
975,6.35005,0.0547688
976,6.1411,0.172779
977,5.72633,0.273934
978,6.15458,0.198282
979,6.3427,0.139202
980,6.33716,0.150471
981,6.18802,0.156993
982,6.21594,0.150507
983,6.33037,0.143599
984,6.19446,0.161638
985,5.91524,0.278761
986,6.20152,0.163
987,6.34095,0.0866831
988,6.33287,0.151043
989,6.31317,0.13468
990,6.3144,0.139234
991,6.38554,0.0492396
992,6.32341,0.0794784
993,6.17306,0.160128
994,6.36363,0.137379
995,5.73151,0.312021
996,6.37037,0.121206
997,6.30063,0.0925945
998,6.05931,0.219455
999,6.4611,0.0375236
1000,6.4135,0.0411026
