Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1036,1319.99,73.1083
1037,1349.1,69.2671
1038,1319.71,72.4598
1039,1304.93,73.1938
1040,1320.11,71.0954
1041,1339.23,69.1948
1042,1349.79,67.7444
1043,1233.77,102.942
1044,1246.96,102.891
1045,1433.11,62.2814
1046,1407.14,63.2286
1047,1225.88,112.618
1048,1224.34,114.521
1049,1327.51,84.1416
1050,1330.29,82.0044
1051,1315.52,69.584
1052,1302.82,70.9348
1053,1310.22,102.188
1054,1357.59,100.178
1055,1255.83,88.9853
1056,1273.71,84.6195
1057,1331.88,78.2503
1058,1379.2,72.71
1059,1236.94,86.0523
1060,1265.14,82.1971
1061,1388.22,63.56
1062,1380.8,63.6034
1063,1257.3,96.7059
1064,1286.51,80.22
1065,1495.27,41.0529
1066,1473.79,44.4668
1067,1353.23,68.3028
1068,1379.68,63.0647
1069,1324.58,102.089
1070,1320.18,102.039
1071,1269.9,78.6356
1072,1235.8,81.8585
1073,1372.89,69.997
1074,1347.33,71.8871
1075,1426.15,51.4445
1076,1463.59,47.8618
1077,1322.69,73.7575
1078,1281.01,87.144
1079,1256.64,112.852
1080,1248.02,112.088
1081,1396.31,60.214
1082,1406.52,59.0952
1083,1375.02,62.7377
1084,1398.67,59.8943
1085,1386.4,68.6332
1086,1428.9,58.8179
1087,1351.41,68.6806
1088,1357.48,65.4067
1089,1334.29,83.2274
1090,1324.69,83.6867
1091,1351.23,65.3122
1092,1358.1,65.1455
1093,1269.05,73.772
1094,1245.55,77.163
1095,1380.03,77.2852
1096,1379.04,77.2594
1097,1385.04,72.1857
1098,1389.29,69.8918
1099,1361.87,60.8564
1100,1365.63,64.0007
1101,1193.25,108.956
1102,1216.96,107.11
1103,1418.17,52.5284
1104,1413.42,51.9851
1105,1341.62,77.867
1106,1346.43,77.808
1107,1265.3,92.978
1108,1266.81,93.084
1109,1337.68,79.8144
1110,1376.56,75.8364
1111,1371.72,57.386
1112,1367.13,60.7616
1113,1392.5,58.177
1114,1380.39,58.528
1115,1350.64,79.8196
1116,1365.09,79.6915
1117,1296.39,86.9123
1118,1320.17,84.914
1119,1387.58,63.4042
1120,1338.7,75.6147
1121,1369.04,79.849
1122,1366.71,80.9451
1123,1299.08,88.2611
1124,1294.04,88.6743
1125,1428.28,55.9465
1126,1440.99,56.2684
1127,1404.52,63.0041
1128,1416.15,63.8685
1129,1399.79,57.8023
1130,1342.71,75.2704
1131,1340.34,81.7737
1132,1321.83,83.2759
1133,1368.98,68.4377
1134,1363.87,65.1299
1135,1434.75,58.9622
1136,1411.39,60.5518
1137,1418.39,59.8546
1138,1394.61,65.0233
1139,1374.54,94.5004
1140,1348.42,95.9101
1141,1432.69,52.7555
1142,1408.31,56.7027
1143,1382.27,67.3591
1144,1379.96,67.2266
1145,1391.82,63.6109
1146,1381.41,66.6194
1147,1413.36,62.9739
1148,1408.52,62.8148
1149,1403.72,57.0794
1150,1407.76,55.5651
1151,1425.09,66.7452
1152,1479.45,43.7945
1153,1366.06,63.9394
1154,1342.81,67.1304
1155,1316.42,66.7957
1156,1312.35,66.397
1157,1391.23,57.2401
1158,1397.44,56.2366
1159,1232.47,94.8604
1160,1243.02,95.505
1161,1270.66,95.4281
1162,1328.82,74.7872
1163,1360.48,72.2461
1164,1329.33,75.759
1165,1370.46,65.5285
1166,1369.05,65.0696
1167,1386.99,60.045
1168,1403.43,57.9211
1169,1285.55,99.945
1170,1290.25,99.8345
1171,1444.65,59.2532
1172,1454.2,59.8774
