Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
1217,1111.88,188.036
1218,1237.98,161.389
1219,1568.57,99.8245
1220,1176.27,212.881
1221,1402.33,149.119
1222,1153.78,186.612
1223,1078.51,219.779
1224,1402.37,115.408
1225,1137.32,240.461
1226,1125.51,201.368
1227,1182.85,189.801
1228,1547.1,87.3527
1229,1363.07,126.438
1230,1085.65,223.869
1231,1332.69,117.121
1232,1416.04,123.013
1233,1046.23,185.283
1234,1165.47,171.841
1235,1185.45,184.779
1236,1205.22,152.063
1237,1325.44,147.347
1238,1123.35,190.555
1239,1050.05,205.963
1240,1080.03,172.901
1241,1243.22,158.502
1242,884.843,221.823
1243,1254.1,148.189
1244,1230.86,159.736
1245,1116.42,206.923
1246,1145.09,191.989
1247,1321.24,142.83
1248,1364.42,148.135
1249,1368.7,162.531
1250,1196.69,182.853
1251,1190.74,176.754
1252,1041.79,178.14
1253,1307.2,175.832
1254,1303.41,145.78
1255,1163.09,211.192
1256,1277.61,184.484
1257,953.578,211.646
1258,907.466,192.168
1259,1130.5,172.781
1260,1067.09,198.409
1261,1182.03,159.761
1262,1183.63,162.873
1263,1464.56,126.372
1264,1157.58,135.869
1265,1281.83,160.003
1266,1245.3,156.998
1267,1322.58,155.979
1268,1211.1,185.468
1269,1376.8,143.499
1270,1471.55,135.544
1271,1410.98,120.818
1272,1469.5,93.6495
1273,1269.36,170.895
1274,1373.03,128.489
1275,1298.16,163.54
1276,1375.14,120.453
1277,1135.22,186.893
1278,1338.7,150.054
1279,1368.28,135.769
1280,1269.98,192.408
1281,1385.6,137.921
1282,1093.15,201.388
